"Label","ID","Detection quality","Spot N links","Spot center intensity","Spot center intensity","Spot frame","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot position","Spot position","Spot position","Spot quick mean","Spot quick mean","Spot radius","Spot track ID","Track N spots","AP","AP","Somite","Somite"
"",""," "," ","Center ch1","Center ch2"," ","Mean ch1","Std ch1","Min ch1","Max ch1","Median ch1","Sum ch1","Mean ch2","Std ch2","Min ch2","Max ch2","Median ch2","Sum ch2","X","Y","Z","Mean ch1","Mean ch2"," "," "," ","Anterior","Posterior","16","17"
"","","","","(Counts)","(Counts)","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(Counts)","(Counts)","(micron)","","","","","",""
"21","21","","2","175.33171713292865","5449.354233815452","109","174.01507537688443","18.32357320475792","117.0","190.0","174.0","207774.0","5049.769681742044","965.5428102417077","2739.0","5811.0","5093.0","6029425.0","308.85594640673526","594.6741806601574","129.9700520677795","170.75","4165.25","3.676011030057441","0","132","0","1","1","0"
"22","22","","2","176.29042679589685","5271.310089371826","108","174.00976403580145","18.20141300917582","116.0","191.0","173.0","213858.0","4909.540276647681","856.6785860053469","2639.0","5349.0","4960.0","6033825.0","308.5076809958308","595.0308341184972","129.90928787448036","168.66666666666666","4336.666666666667","3.676011030057441","0","132","0","1","1","0"
"23","23","","2","174.90564504331266","5388.2189185579255","107","174.06234618539787","18.542262154011937","105.0","190.0","173.0","212182.0","4992.387202625103","975.9019175831651","2984.0","5122.0","5062.0","6085720.0","308.690166841326","594.0459458932328","129.53985011172753","171.0","4306.8","3.676011030057441","0","132","0","1","1","0"
"24","24","","2","174.92255352284351","5096.36497020398","106","173.73701842546063","18.503197969796112","125.0","194.0","172.0","207442.0","4732.342546063652","876.9059074822396","2599.0","5173.0","4675.0","5650417.0","309.11061136875253","593.4974028654949","129.39854007495032","171.0","4137.666666666667","3.676011030057441","0","132","0","1","1","0"
"25","25","","2","175.22717477257567","4967.274581011843","105","173.93338884263113","18.694978628574113","111.0","184.0","173.0","208894.0","4640.327227310575","731.0998680069106","2952.0","6415.0","4597.0","5573033.0","309.2480905514016","592.766158125227","128.54565825997733","169.5","4173.333333333333","3.676011030057441","0","132","0","1","1","0"
"26","26","","2","173.045281283676","4394.721729707628","104","172.0530612244898","18.154510031774404","115.0","195.0","171.0","210765.0","4190.84081632653","532.0604402303896","2890.0","5690.0","4194.0","5133780.0","310.51076841969854","593.9073122494915","129.33202298153097","171.0","3947.0","3.676011030057441","0","132","0","1","1","0"
"27","27","","2","172.22681268682268","4428.378106604273","103","171.75396163469557","18.074286023537137","120.0","195.0","171.0","205933.0","4145.367806505421","633.3900659339514","2610.0","5497.0","4064.0","4970296.0","310.97480810750045","594.8321752878849","128.43305508376915","170.16666666666666","3661.5","3.676011030057441","0","132","0","1","1","0"
"28","28","","2","175.2819241320678","4656.953696077867","102","174.7962962962963","18.50268551522278","121.0","199.0","174.0","207658.0","4398.371212121212","619.1243859707587","3020.0","5662.0","4439.0","5225265.0","311.3013942631887","595.178376832158","128.59326977292434","174.75","3818.75","3.676011030057441","0","132","0","1","1","0"
"29","29","","2","180.41549741469004","4654.96011322965","101","179.55747126436782","19.41931196217361","124.0","206.0","178.0","218701.0","4364.458128078818","654.3147722392699","2688.0","6191.0","4337.0","5315910.0","311.5761430911129","594.5380946172207","128.5869430354073","177.4","3895.8","3.676011030057441","0","132","0","1","1","0"
"30","30","","2","182.65152635974385","4917.731768964322","100","181.41186299081036","20.752482052171366","124.0","208.0","181.0","217150.0","4608.834586466165","722.5570519697881","3038.0","5992.0","4630.0","5516775.0","311.06073850525405","593.0239520399477","128.18731789234053","180.2","4004.8","3.676011030057441","0","132","0","1","1","0"
"31","31","","2","185.96476219116988","4824.88717994514","99","184.3233830845771","20.19892525379285","128.0","209.0","184.0","222294.0","4527.7147595356555","684.8678461594886","3086.0","6011.0","4521.0","5460424.0","310.9349316014335","593.0356681783607","127.94934774613185","181.25","3862.375","3.676011030057441","0","132","0","1","1","0"
